rel_path,item_id,split,image_path,role
img/WOMEN/Dresses/id_00004024/04_1_front.jpg,id_00004024,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Dresses\id_00004024\04_1_front.jpg,gallery
img/WOMEN/Cardigans/id_00002751/03_3_back.jpg,id_00002751,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Cardigans\id_00002751\03_3_back.jpg,gallery
img/MEN/Tees_Tanks/id_00001345/08_6_flat.jpg,id_00001345,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Tees_Tanks\id_00001345\08_6_flat.jpg,gallery
img/WOMEN/Blouses_Shirts/id_00003112/08_2_side.jpg,id_00003112,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Blouses_Shirts\id_00003112\08_2_side.jpg,gallery
img/MEN/Sweatshirts_Hoodies/id_00005910/02_6_flat.jpg,id_00005910,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Sweatshirts_Hoodies\id_00005910\02_6_flat.jpg,gallery
img/WOMEN/Tees_Tanks/id_00003273/02_1_front.jpg,id_00003273,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Tees_Tanks\id_00003273\02_1_front.jpg,gallery
img/WOMEN/Dresses/id_00002141/01_4_full.jpg,id_00002141,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Dresses\id_00002141\01_4_full.jpg,gallery
img/WOMEN/Blouses_Shirts/id_00001217/03_4_full.jpg,id_00001217,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Blouses_Shirts\id_00001217\03_4_full.jpg,gallery
img/WOMEN/Tees_Tanks/id_00000133/02_3_back.jpg,id_00000133,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Tees_Tanks\id_00000133\02_3_back.jpg,gallery
img/WOMEN/Dresses/id_00006403/05_1_front.jpg,id_00006403,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Dresses\id_00006403\05_1_front.jpg,gallery
img/MEN/Sweatshirts_Hoodies/id_00007804/12_2_side.jpg,id_00007804,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Sweatshirts_Hoodies\id_00007804\12_2_side.jpg,gallery
img/WOMEN/Blouses_Shirts/id_00007208/02_2_side.jpg,id_00007208,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Blouses_Shirts\id_00007208\02_2_side.jpg,gallery
img/MEN/Shorts/id_00007539/01_2_side.jpg,id_00007539,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Shorts\id_00007539\01_2_side.jpg,gallery
img/WOMEN/Dresses/id_00006378/04_1_front.jpg,id_00006378,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Dresses\id_00006378\04_1_front.jpg,gallery
img/MEN/Sweaters/id_00001563/01_2_side.jpg,id_00001563,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Sweaters\id_00001563\01_2_side.jpg,gallery
img/WOMEN/Dresses/id_00005002/06_1_front.jpg,id_00005002,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Dresses\id_00005002\06_1_front.jpg,gallery
img/WOMEN/Pants/id_00003100/06_1_front.jpg,id_00003100,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Pants\id_00003100\06_1_front.jpg,gallery
img/WOMEN/Blouses_Shirts/id_00004277/03_1_front.jpg,id_00004277,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Blouses_Shirts\id_00004277\03_1_front.jpg,gallery
img/MEN/Denim/id_00004051/01_4_full.jpg,id_00004051,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Denim\id_00004051\01_4_full.jpg,gallery
img/WOMEN/Jackets_Coats/id_00002599/01_2_side.jpg,id_00002599,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Jackets_Coats\id_00002599\01_2_side.jpg,gallery
img/WOMEN/Jackets_Coats/id_00000261/02_1_front.jpg,id_00000261,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Jackets_Coats\id_00000261\02_1_front.jpg,gallery
img/WOMEN/Pants/id_00005171/01_2_side.jpg,id_00005171,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Pants\id_00005171\01_2_side.jpg,gallery
img/WOMEN/Rompers_Jumpsuits/id_00005251/03_1_front.jpg,id_00005251,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Rompers_Jumpsuits\id_00005251\03_1_front.jpg,gallery
img/WOMEN/Sweaters/id_00005107/02_1_front.jpg,id_00005107,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Sweaters\id_00005107\02_1_front.jpg,gallery
img/MEN/Tees_Tanks/id_00007224/06_1_front.jpg,id_00007224,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Tees_Tanks\id_00007224\06_1_front.jpg,gallery
img/WOMEN/Tees_Tanks/id_00006863/16_3_back.jpg,id_00006863,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Tees_Tanks\id_00006863\16_3_back.jpg,gallery
img/WOMEN/Skirts/id_00007055/02_1_front.jpg,id_00007055,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Skirts\id_00007055\02_1_front.jpg,gallery
img/WOMEN/Blouses_Shirts/id_00003447/09_1_front.jpg,id_00003447,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Blouses_Shirts\id_00003447\09_1_front.jpg,gallery
img/WOMEN/Blouses_Shirts/id_00007049/01_4_full.jpg,id_00007049,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Blouses_Shirts\id_00007049\01_4_full.jpg,gallery
img/WOMEN/Sweaters/id_00007269/02_2_side.jpg,id_00007269,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Sweaters\id_00007269\02_2_side.jpg,gallery
img/WOMEN/Dresses/id_00003784/04_1_front.jpg,id_00003784,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Dresses\id_00003784\04_1_front.jpg,gallery
img/WOMEN/Dresses/id_00002993/03_4_full.jpg,id_00002993,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Dresses\id_00002993\03_4_full.jpg,gallery
img/MEN/Sweaters/id_00001509/04_3_back.jpg,id_00001509,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Sweaters\id_00001509\04_3_back.jpg,gallery
img/WOMEN/Pants/id_00003100/06_2_side.jpg,id_00003100,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Pants\id_00003100\06_2_side.jpg,gallery
img/MEN/Tees_Tanks/id_00004554/04_4_full.jpg,id_00004554,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Tees_Tanks\id_00004554\04_4_full.jpg,gallery
img/WOMEN/Skirts/id_00004318/02_4_full.jpg,id_00004318,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Skirts\id_00004318\02_4_full.jpg,gallery
img/WOMEN/Rompers_Jumpsuits/id_00001976/04_3_back.jpg,id_00001976,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Rompers_Jumpsuits\id_00001976\04_3_back.jpg,gallery
img/WOMEN/Cardigans/id_00002751/03_4_full.jpg,id_00002751,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Cardigans\id_00002751\03_4_full.jpg,gallery
img/WOMEN/Pants/id_00002403/02_3_back.jpg,id_00002403,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Pants\id_00002403\02_3_back.jpg,gallery
img/MEN/Pants/id_00006830/09_1_front.jpg,id_00006830,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Pants\id_00006830\09_1_front.jpg,gallery
img/WOMEN/Tees_Tanks/id_00002257/02_3_back.jpg,id_00002257,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Tees_Tanks\id_00002257\02_3_back.jpg,gallery
img/WOMEN/Cardigans/id_00001963/01_3_back.jpg,id_00001963,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Cardigans\id_00001963\01_3_back.jpg,gallery
img/WOMEN/Blouses_Shirts/id_00000774/04_2_side.jpg,id_00000774,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Blouses_Shirts\id_00000774\04_2_side.jpg,gallery
img/WOMEN/Sweatshirts_Hoodies/id_00000928/01_1_front.jpg,id_00000928,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Sweatshirts_Hoodies\id_00000928\01_1_front.jpg,gallery
img/WOMEN/Tees_Tanks/id_00001634/08_2_side.jpg,id_00001634,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Tees_Tanks\id_00001634\08_2_side.jpg,gallery
img/MEN/Tees_Tanks/id_00005188/01_1_front.jpg,id_00005188,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\MEN\Tees_Tanks\id_00005188\01_1_front.jpg,gallery
img/WOMEN/Graphic_Tees/id_00001545/01_3_back.jpg,id_00001545,gallery,C:\Users\dilku\deepfashion-recsys\data\deepfashion\img\img\img_highres_seg-003\img_highres\WOMEN\Graphic_Tees\id_00001545\01_3_back.jpg,gallery
